GrandmaternalTemp,Genotype,GrandmaternalVern,GerminationTemp,Generation,Max
Cold,Col0,Unvernalized,10C,Progeny,0.7
Cold,Cvi0,Unvernalized,10C,Progeny,0.1
Cold,Ws1,Unvernalized,10C,Progeny,0
Cold,Ws1,Unvernalized,10C,Progeny,0.05
Cold,Cvi0,Unvernalized,10C,Progeny,0.2
Cold,Ws1,Unvernalized,10C,Progeny,0
Cold,Cvi0,Unvernalized,10C,Progeny,0.05
Cold,Ler,Unvernalized,10C,Progeny,0.8
Cold,Ler,Unvernalized,10C,Progeny,1
Cold,Cvi1,Unvernalized,10C,Progeny,0.15
Cold,Col0,Unvernalized,10C,Progeny,0.95
Cold,Cvi1,Unvernalized,10C,Progeny,0.15
Cold,Col0,Unvernalized,10C,Progeny,0
Cold,Cvi1,Unvernalized,10C,Progeny,0.05
Cold,Ws1,Unvernalized,10C,Progeny,0
Cold,Wa1,Unvernalized,10C,Progeny,0.3
Cold,Ler2,Unvernalized,10C,Progeny,1
Cold,Col0,Unvernalized,10C,Progeny,0.95
Cold,Ler,Unvernalized,10C,Progeny,0.95
Cold,Ler,Unvernalized,10C,Progeny,0.9
Cold,Wa1,Unvernalized,10C,Progeny,0.25
Cold,Cvi0,Unvernalized,10C,Progeny,0.35
Cold,Cvi1,Unvernalized,10C,Progeny,0.05
Cold,Wa1,Unvernalized,10C,Progeny,0
Cold,Wa1,Unvernalized,10C,Progeny,0.05
Cold,Ws1,Unvernalized,10C,Progeny,0
Cold,Wa1,Unvernalized,10C,Progeny,0.35
Cold,Ler,Unvernalized,10C,Progeny,0
Cold,Ler2,Unvernalized,10C,Progeny,1
Cold,Col0,Unvernalized,10C,Progeny,1
Cold,Cvi0,Unvernalized,10C,Progeny,0.3
Cold,Cvi1,Unvernalized,10C,Progeny,0.25
Cold,Col0,Unvernalized,10C,Progeny,0.7
Cold,Col0,Unvernalized,10C,Progeny,0.8
Cold,Ler2,Unvernalized,10C,Progeny,0.95
Cold,Ler,Unvernalized,10C,Progeny,0.6
Cold,Cvi0,Unvernalized,10C,Progeny,0
Cold,Ws1,Unvernalized,10C,Progeny,0
Cold,Ws1,Unvernalized,10C,Progeny,0
Cold,Ler2,Unvernalized,10C,Progeny,0.95
Cold,Ws1,Unvernalized,10C,Progeny,0.05
Cold,Col0,Unvernalized,10C,Progeny,1
Cold,Cvi1,Unvernalized,10C,Progeny,0.05
Cold,Ws1,Unvernalized,10C,Progeny,0
Cold,Col0,Unvernalized,10C,Progeny,0.95
Cold,Ler2,Unvernalized,10C,Progeny,1
Cold,Wa1,Unvernalized,10C,Progeny,0.25
Cold,Cvi0,Unvernalized,10C,Progeny,0.15
Cold,Ler2,Unvernalized,10C,Progeny,1
Cold,Cvi0,Unvernalized,10C,Progeny,0.4
Cold,Cvi1,Unvernalized,10C,Progeny,0.2
Cold,Ler,Unvernalized,10C,Progeny,1
Cold,Ler2,Unvernalized,10C,Progeny,0.95
Cold,Wa1,Unvernalized,10C,Progeny,0
Cold,Wa1,Unvernalized,10C,Progeny,0.1
Cold,Cvi0,Unvernalized,10C,Progeny,0.1
Cold,Ws1,Unvernalized,10C,Progeny,0.1
Cold,Ler2,Unvernalized,10C,Progeny,1
Cold,Col0,Unvernalized,10C,Progeny,0.8
Cold,Cvi1,Unvernalized,10C,Progeny,0
Cold,Ler2,Unvernalized,10C,Progeny,1
Cold,Ws1,Unvernalized,10C,Progeny,0
Cold,Ler2,Unvernalized,10C,Progeny,0.85
Cold,Ler,Unvernalized,10C,Progeny,0.7
Cold,Cvi0,Unvernalized,10C,Progeny,0.3
Cold,Ler,Unvernalized,10C,Progeny,1
Cold,Wa1,Unvernalized,10C,Progeny,0.1
Cold,Ler,Unvernalized,10C,Progeny,1
Cold,Ws1,Unvernalized,10C,Progeny,0
Cold,Col0,Unvernalized,10C,Progeny,0.9
Cold,Ler2,Unvernalized,10C,Progeny,1
Cold,Ler,Unvernalized,10C,Progeny,0
Cold,Cvi1,Unvernalized,10C,Progeny,0.05
Cold,Wa1,Unvernalized,10C,Progeny,0
Cold,Cvi1,Unvernalized,10C,Progeny,0.2
Cold,Cvi1,Unvernalized,10C,Progeny,0.05
Cold,Cvi0,Unvernalized,10C,Progeny,0.1
Cold,Cvi0,Unvernalized,10C,Progeny,0.05
Cold,Cvi1,Unvernalized,10C,Progeny,0
Cold,Wa1,Unvernalized,10C,Progeny,0.15
Cold,Ler2,Unvernalized,10C,Progeny,1
Cold,Col0,Unvernalized,10C,Progeny,0.95
Cold,Ler,Unvernalized,10C,Progeny,0.95
Cold,Wa1,Unvernalized,10C,Progeny,0.05
Cold,Col0,Unvernalized,22C,Progeny,0.65
Cold,Cvi1,Unvernalized,22C,Progeny,0
