UniqueID,Tray,Genotype,GrandmaternalTemp,GrandmaternalVern,MaxLeafNumber,MaxLength,Bolting,Flower,FirstFruit,FirstYellowFruit,Generation,FlowerInterval,FruitInterval
Ag0_1,A,Ag0,High,Vernalized,24,27.63,30,35,39,54,Progeny,5,19
Ag0_10,J,Ag0,High,Vernalized,15,22.68,24,30,33,51,Progeny,6,21
Ag0_11,K,Ag0,High,Vernalized,24,26.44,34,40,43,57,Progeny,6,17
Ag0_12,L,Ag0,High,Vernalized,11,15.77,26,36,38,53,Progeny,10,17
Ag0_13,A,Ag0,High,Unvernalized,19,29.24,29,34,37,55,Progeny,5,21
Ag0_14,B,Ag0,High,Unvernalized,28,30.6,31,40,44,57,Progeny,9,17
Ag0_15,C,Ag0,High,Unvernalized,16,25.95,26,34,36,54,Progeny,8,20
Ag0_16,D,Ag0,High,Unvernalized,16,22.72,26,33,35,54,Progeny,7,21
Ag0_17,E,Ag0,High,Unvernalized,16,24.78,26,35,37,52,Progeny,9,17
Ag0_18,F,Ag0,High,Unvernalized,16,28.8,26,34,35,53,Progeny,8,19
Ag0_19,G,Ag0,High,Unvernalized,16,22.87,30,36,38,53,Progeny,6,17
Ag0_2,B,Ag0,High,Vernalized,16,21.25,25,34,41,60,Progeny,9,26
Ag0_20,H,Ag0,High,Unvernalized,24,25.77,28,34,36,60,Progeny,6,26
Ag0_21,I,Ag0,High,Unvernalized,14,22.98,26,33,37,52,Progeny,7,19
Ag0_22,J,Ag0,High,Unvernalized,26,29.96,29,35,36,57,Progeny,6,22
Ag0_23,K,Ag0,High,Unvernalized,16,25.51,26,35,38,53,Progeny,9,18
Ag0_24,L,Ag0,High,Unvernalized,14,21.76,26,34,36,54,Progeny,8,20
Ag0_26,B,Ag0,Low,Vernalized,22,29.71,28,36,40,46,Progeny,8,10
Ag0_28,D,Ag0,Low,Vernalized,20,23.86,30,39,41,58,Progeny,9,19
Ag0_29,E,Ag0,Low,Vernalized,21,23.46,30,36,39,54,Progeny,6,18
